ADSCrouchBaseMax,ADSCrouchBaseMin,ADSCrouchBaseSpreadDec,ADSCrouchBaseSpreadInc,ADSCrouchMoveMax,ADSCrouchMoveMin,ADSCrouchMoveSpreadDec,ADSCrouchMoveSpreadInc,ADSProneBaseMax,ADSProneBaseMin,ADSProneBaseSpreadDec,ADSProneBaseSpreadInc,ADSProneMoveMax,ADSProneMoveMin,ADSProneMoveSpreadDec,ADSProneMoveSpreadInc,ADSRecoilDec,ADSRecoilLeft,ADSRecoilRight,ADSRecoilUp,ADSStandBaseMax,ADSStandBaseMin,ADSStandBaseSpreadDec,ADSStandBaseSpreadInc,ADSStandMoveMax,ADSStandMoveMin,ADSStandMoveSpreadDec,ADSStandMoveSpreadInc,AltDeployTime,Ammo,BDrop,BRoF,BridgeDelay,Class,Damages0,Damages1,Damages2,Damages3,Damages4,Damages5,Damages6,Damages7,Damages8,Damages9,DeployTime,Dmg_distances0,Dmg_distances1,Dmg_distances2,Dmg_distances3,Dmg_distances4,Dmg_distances5,Dmg_distances6,Dmg_distances7,Dmg_distances8,Dmg_distances9,Drag,EDmg,FirstShotADSSpreadMul,FirstShotHIPSpreadMul,FirstShotRecoilMul,FirstSingleBulletTime,HIPCrouchBaseMax,HIPCrouchBaseMin,HIPCrouchBaseSpreadDec,HIPCrouchBaseSpreadInc,HIPCrouchMoveMax,HIPCrouchMoveMin,HIPCrouchMoveSpreadDec,HIPCrouchMoveSpreadInc,HIPProneBaseMax,HIPProneBaseMin,HIPProneBaseSpreadDec,HIPProneBaseSpreadInc,HIPProneMoveMax,HIPProneMoveMin,HIPProneMoveSpreadDec,HIPProneMoveSpreadInc,HIPRecoilDec,HIPRecoilLeft,HIPRecoilRight,HIPRecoilUp,HIPStandBaseMax,HIPStandBaseMin,HIPStandBaseSpreadDec,HIPStandBaseSpreadInc,HIPStandMoveMax,HIPStandMoveMin,HIPStandMoveSpreadDec,HIPStandMoveSpreadInc,HorDispersion,InitialSpeed,MagSize,NumBulletsReloaded,PostReloadDelay,ReloadDelay,ReloadEmpty,ReloadLeft,ReloadThrs,RoF,SDmg,ShotsPerBurst,ShotsPerShell,SingleBulletReloadTime,StripClipSize,StripReloadTime,TimeToLive,VerDispersion,WeapShowName
1.2,0.18,3,0.1,1.2,0.82,3,0.1,1.2,0.18,3,0.1,1.2,0.82,3,0.1,4,0.2,0.2,0.45,1.2,0.18,3,0.1,1.2,0.82,3,0.1,0.9,65_Arisaka,12,449,N/A,1,28,26.042,25,20.84,20,19,19,19,19,19,0.7,28,29,30,37,38,40,40,40,40,40,0.002,19,1,1,1,N/A,2.5,0.75,3,0.05,3,1.2,3,0.05,2,0.5,3,0.05,2.5,0.9,3,0.05,4,0.2,0.2,0.45,3,1,3,0.05,3.5,1.5,3,0.05,0,570,26,26,N/A,N/A,3.8,2.7,0.75,449,28,3,1,N/A,N/A,N/A,5,0,Fedorov Avtomat Trench
1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,5,0.4,0.4,1,1.2,0.4,4.5,0.15,1.2,0.4,4.5,0.15,2,32ACP,12,449,N/A,8,26.5,26.05,25,20.84,20,17.37,16.67,14.89,14.29,13.5,0.4,6,9,10,15,16,21,22,27,28,31.33,0.0025,13.5,1,1,1,N/A,2,0.8,4.5,0.15,2,1.2,4.5,0.15,2,0.8,4.5,0.15,2,1.2,4.5,0.15,5,0.4,0.4,1,2,0.8,4.5,0.15,2,1.2,4.5,0.15,0,320,8,8,N/A,N/A,2,1.25,0.8,449,26.5,3,1,N/A,N/A,N/A,1.5,0,Frommer Stop
1.2,0.36,2.7,0.045,1.2,0.44,2.7,0.045,1.2,0.36,2.7,0.045,1.2,0.44,2.7,0.045,12,0.6,0.6,0.5,1.2,0.36,2.7,0.045,1.2,0.44,2.7,0.045,2,32ACP,12,900,N/A,5,23,20.84,20,17.37,16.67,14.89,14.29,13.03,12.5,12,0.5,6,11,12,21,22,29,30,37,38,42.16,0.0025,12,3,3,2,N/A,2,0.8,2.7,0.045,2.5,1.2,2.7,0.045,2,0.8,2.7,0.045,2.5,1.2,2.7,0.045,12,0.6,0.6,0.5,2,0.8,2.7,0.045,2.5,1.2,2.7,0.045,0,350,16,16,N/A,N/A,2.1,1.25,0.78,900,23,3,1,N/A,N/A,N/A,1.5,0,Frommer Stop Auto
1.2,0.24,9,0.3,1.2,0.5,9,0.3,1.2,0.24,9,0.3,1.2,0.5,9,0.3,5,1,1,6,1.2,0.24,9,0.3,1.2,0.5,9,0.3,2,112x295_Montenegrin,12,179,0,8,53,52.09,50,34.73,33.34,26.05,25,21,21,21,0.65,14,21,22,27,28,33,34,38.11,38.11,38.11,0.0025,21,1,1,1,1.033,2,0.8,9,0.3,2,1.2,9,0.3,2,0.8,9,0.3,2,1.2,9,0.3,5,1,1,6,2,0.8,9,0.3,2,1.2,9,0.3,0,230,6,12,1.2,1.4,N/A,N/A,N/A,179,53,1,1,1.033,12,0,1.5,0,Gasser M1870
1.2,0.15,6,0.1,1.2,1.05,6,0.1,1.2,0.15,6,0.1,1.2,1.05,6,0.1,5.25,0.5,0.5,1.3,1.2,0.15,6,0.1,1.2,1.05,6,0.1,0.9,Mauser792x57mm,12,299,N/A,1,40,35,35,35,35,35,35,35,35,35,0.7,40,80,80,80,80,80,80,80,80,80,0.0025,35,1,1,1,N/A,3,2,6,0.1,3.5,2.5,6,0.1,2.5,1.5,6,0.1,3,2,6,0.1,5.25,0.5,0.5,1.3,3.5,2.5,6,0.1,4,3,6,0.1,0,800,6,N/A,N/A,N/A,N/A,N/A,N/A,299,40,3,1,N/A,6,N/A,3,0,General Liu Rifle Factory
1.2,0.15,3,0.1,1.2,1.05,3,0.1,1.2,0.15,3,0.1,1.2,1.05,3,0.1,3,0.3,0.3,0.78,1.2,0.15,3,0.1,1.2,1.05,3,0.1,0.9,Mauser792x57mm,12,299,N/A,1,40,35,35,35,35,35,35,35,35,35,0.7,40,80,80,80,80,80,80,80,80,80,0.0025,35,1,1,1,N/A,3,2,3,0.1,3.5,2.5,3,0.1,2.5,1.5,3,0.1,3,2,3,0.1,3,0.3,0.3,0.78,3.5,2.5,3,0.1,4,3,3,0.1,0,800,6,N/A,N/A,N/A,N/A,N/A,N/A,299,40,3,1,N/A,6,N/A,3,0,General Liu Rifle Storm
2,0,10.05,0,3,1,10.05,0,2,0,10.05,0,3,1,10.05,0,4.5,1,1,2,2,0,10.05,0,3,1,10.05,0,0,Mauser792x57mm,12,50,0.2,4,80,80,100,100,80,80,80,80,80,80,0.9,0,60,80,125,165,165,165,165,165,165,0.0025,80,1,1,1,0.7,3,2,10.05,1,4.5,3.5,10.05,1,2.5,1.5,10.05,1,4,3,10.05,1,4.5,1,1,5,3.5,2.5,10.05,1,5,4,10.05,1,0,880,5,5,0.8,1.1666666,N/A,N/A,N/A,50,100,3,1,0.5,5,1.5,5,0,Gewehr 98 Infantry
2,0,6.7,0,3,1,6.7,0,2,0,6.7,0,3,1,6.7,0,3,1,1,2,2,0,6.7,0,3,1,6.7,0,0,Mauser792x57mm,12,50,0.2,4,80,80,100,100,80,80,80,80,80,80,0.9,0,60,80,125,165,165,165,165,165,165,0.0025,80,1,1,1,0.7,3,2,6.7,1,4.5,3.5,6.7,1,2.5,1.5,6.7,1,4,3,6.7,1,3,1,1,5,3.5,2.5,6.7,1,5,4,6.7,1,0,880,5,5,0.8,1.1666666,N/A,N/A,N/A,50,100,3,1,0.5,5,1.5,5,0,Gewehr 98 Marksman
2,0,6.7,0,3,1,6.7,0,2,0,6.7,0,3,1,6.7,0,3,1,1,2,2,0,6.7,0,3,1,6.7,0,0,Mauser792x57mm,12,50,0.2,4,80,80,100,100,80,80,80,80,80,80,0.9,0,60,80,125,165,165,165,165,165,165,0.0025,80,1,1,1,0.7,3,2,6.7,1,4.5,3.5,6.7,1,2.5,1.5,6.7,1,4,3,6.7,1,3,1,1,5,3.5,2.5,6.7,1,5,4,6.7,1,0,880,5,5,0.8,1.1666666,N/A,N/A,N/A,50,100,3,1,0.5,5,1.5,5,0,Gewehr 98 Sniper
2,0,6.7,0,3,0.5,6.7,0,2,0,6.7,0,3,0.5,6.7,0,3,1,1,2,2,0,6.7,0,3,0.5,6.7,0,0.05,8x50mmR_Mannlicher,12,66,0,4,90,79,79,79,79,79,79,79,79,79,0.9,20,125,125,125,125,125,125,125,125,125,0.0025,79,1,1,1,3,3,1.334,6.7,1,4.5,2.3345,6.7,1,2.5,1.0005,6.7,1,4,2.001,6.7,1,3,1,1,5,3.5,1.6675,6.7,1,5,2.668,6.7,1,0,620,5,5,0,0,N/A,N/A,N/A,66,90,3,1,3,5,3,5,0,Gewehr M.95 Carbine
2,0,10.05,0,3,1,10.05,0,2,0,10.05,0,3,1,10.05,0,4.5,1,1,2,2,0,10.05,0,3,1,10.05,0,0.05,8x50mmR_Mannlicher,12,66,0,4,90,79,79,79,79,79,79,79,79,79,0.9,20,125,125,125,125,125,125,125,125,125,0.0025,79,1,1,1,3,3,2,10.05,1,4.5,3.5,10.05,1,2.5,1.5,10.05,1,4,3,10.05,1,4.5,1,1,5,3.5,2.5,10.05,1,5,4,10.05,1,0,620,5,5,0,0,N/A,N/A,N/A,66,90,3,1,3,5,3,5,0,Gewehr M.95 Infantry
2,0,6.7,0,3,1,6.7,0,2,0,6.7,0,3,1,6.7,0,3,1,1,2,2,0,6.7,0,3,1,6.7,0,0.05,8x50mmR_Mannlicher,12,66,0,4,90,79,79,79,79,79,79,79,79,79,0.9,20,125,125,125,125,125,125,125,125,125,0.0025,79,1,1,1,3,3,2,6.7,1,4.5,3.5,6.7,1,2.5,1.5,6.7,1,4,3,6.7,1,3,1,1,5,3.5,2.5,6.7,1,5,4,6.7,1,0,620,5,5,0,0,N/A,N/A,N/A,66,90,3,1,3,5,3,5,0,Gewehr M.95 Marksman
1.5,0.3,2.7,0.045,1.75,0.5,2.7,0.045,1.5,0.3,2.7,0.045,1.75,0.5,2.7,0.045,8,0.475,0.475,0.48,1.5,0.3,2.7,0.045,2.25,0.5,2.7,0.045,2,9x23mm,12,650,N/A,2,26.5,25,20.84,20,17.37,16.67,15,15,15,15,0.8,11,12,21,22,29,30,37,37,37,37,0.0025,15,5,5,2,N/A,2.5,1.5,2.7,0.045,2.75,1.75,2.7,0.045,2.5,1.5,2.7,0.045,2.75,1.75,2.7,0.045,8,0.475,0.475,0.48,2.5,1.5,2.7,0.045,3.25,2.25,2.7,0.045,0,380,120,120,N/A,N/A,4.5,3.75,0.85,650,26.5,3,1,N/A,N/A,N/A,1.5,0,Hellriegel 1915 Defensive
1.5,0.3,2.7,0.045,1.75,0.5,2.7,0.045,1.5,0.3,2.7,0.045,1.75,0.5,2.7,0.045,8,0.38,0.38,0.384,1.5,0.3,2.7,0.045,2.25,0.5,2.7,0.045,2,9x23mm,12,650,N/A,2,26.5,25,20.84,20,17.37,16.67,15,15,15,15,0.8,11,12,21,22,29,30,37,37,37,37,0.0025,15,5,5,2,N/A,2.5,1.5,2.7,0.045,2.75,1.75,2.7,0.045,2.5,1.5,2.7,0.045,2.75,1.75,2.7,0.045,8,0.38,0.38,0.384,2.5,1.5,2.7,0.045,3.25,2.25,2.7,0.045,0,380,60,60,N/A,N/A,4.5,3.75,0.85,650,26.5,3,1,N/A,N/A,N/A,1.5,0,Hellriegel 1915 Factory
1,0.4,9,0.3,1,0.6,9,0.3,1,0.4,9,0.3,1,0.3,9,0.3,5,1.5,1.5,5,1,0.4,9,0.3,1,0.6,9,0.3,2,455WebleyMkII,12,257,N/A,8,53,52.09,50,34.73,33.34,26.05,25,20.84,20,17.37,0.55,6,9,10,15,16,21,22,27,28,33,0.0025,15,1,1,1,N/A,2,0.8,9,0.3,2,1.2,9,0.3,2,0.8,9,0.3,2,1.2,9,0.3,5,1.5,1.5,5,2,0.8,9,0.3,2,1.2,9,0.3,0,230,4,4,N/A,N/A,3.3,3.3,0.9,257,53,3,1,N/A,N/A,N/A,1.5,0,Howdah Pistol
1.2,0.15,6,0.1,1.2,1.05,6,0.1,1.2,0.15,6,0.1,1.2,1.05,6,0.1,5.25,0.24,0.24,1,1.2,0.15,6,0.1,1.2,1.05,6,0.1,0.9,British303,12,257,N/A,1,42,34.73,33.34,30,30,30,30,30,30,30,0.7,46.33,53,54,59,59,59,59,59,59,59,0.0025,30,1,1,1,N/A,3,2,6,0.1,3.5,2.5,6,0.1,2.5,1.5,6,0.1,3,2,6,0.1,5.25,0.24,0.24,1,3.5,2.5,6,0.1,4,3,6,0.1,0,740,21,21,N/A,N/A,3.8,2.7,0.75,257,42,3,1,N/A,N/A,N/A,5,0,Howell Automatic Factory
1.2,0.10005,3,0.1,1.2,1.05,3,0.1,1.2,0.10005,3,0.1,1.2,1.05,3,0.1,3,0.24,0.24,1,1.2,0.10005,3,0.1,1.2,1.05,3,0.1,0.9,British303,12,257,N/A,1,42,34.73,33.34,30,30,30,30,30,30,30,0.7,46.33,53,54,59,59,59,59,59,59,59,0.0025,30,1,1,1,N/A,3,2,3,0.1,3.5,2.5,3,0.1,2.5,1.5,3,0.1,3,2,3,0.1,3,0.24,0.24,1,3.5,2.5,3,0.1,4,3,3,0.1,0,740,21,21,N/A,N/A,3.8,2.7,0.75,257,42,3,1,N/A,N/A,N/A,5,0,Howell Automatic Sniper
1.75,0.18,12.75,-0.10625,2.5,0.82,12.75,-0.10625,1.5,0.18,12.75,-0.10625,2.25,0.82,12.75,-0.10625,10.002,0.14,0.14,0.28,2,0.18,12.75,-0.10625,2.75,0.82,12.75,-0.10625,2,British303,12,475,N/A,3,26.5,25,23,20.84,20,20,20,20,20,20,1.2,11,12,35,49,50,50,50,50,50,50,0.0025,20,-4,-4,1.4,N/A,3.25,1.75,27,-0.225,3.75,2.5,27,-0.225,2.75,1.5,27,-0.225,3.25,2.25,27,-0.225,10.002,0.14,0.14,0.28,3.75,2,27,-0.225,4.25,2.75,27,-0.225,0,740,26,26,N/A,N/A,4.25,2.85,0.9,475,26.5,3,1,N/A,N/A,N/A,1.5,0,Huot Automatic Low Weight
1.75,0.135,4.7000002,-0.094000004,2.5,0.615,6.30000025,-0.126000005,1.5,0.135,4.7000002,-0.094000004,2.25,0.615,6.30000025,-0.126000005,6,0.1232,0.1232,0.28,2,0.135,4.7000002,-0.094000004,2.75,0.615,6.30000025,-0.126000005,2,British303,12,475,N/A,3,26.5,25,23,20.84,20,20,20,20,20,20,1.2,11,12,35,49,50,50,50,50,50,50,0.0025,20,-5,-5,1.4,N/A,3.25,1.75,9,-0.18,3.75,2.5,9,-0.18,2.75,1.5,9,-0.18,3.25,2.25,9,-0.18,6,0.1232,0.1232,0.28,3.75,2,9,-0.18,4.25,2.75,9,-0.18,0,740,26,26,N/A,N/A,4.25,2.85,0.9,475,26.5,3,1,N/A,N/A,N/A,1.5,0,Huot Automatic Optical
2.75,0.18,8.925,-0.102,3.5,1.02,8.925,-0.102,2.5,0.18,8.925,-0.102,3.25,1.02,8.925,-0.102,10.002,0.575,0.575,0.42,3,0.18,8.925,-0.102,3.75,1.02,8.925,-0.102,2,Mauser792x57mm,12,600,N/A,3,28,25,21,21,21,21,21,21,21,21,1.25,11,12,35,35,35,35,35,35,35,35,0.0025,21,-4.999998,-4.999998,1.25,N/A,4.75,2.75,18.9,-0.216,5.25,3.5,18.9,-0.216,4.25,2.5,18.9,-0.216,4.75,3.25,18.9,-0.216,10.002,0.575,0.575,0.42,5.25,3,18.9,-0.216,5.75,3.75,18.9,-0.216,0,870,100,N/A,N/A,N/A,N/A,N/A,N/A,600,28,3,1,N/A,-1,N/A,1.5,0,IMG 08-18 Low Weight
2.75,0.18,2.975,-0.085,3.5,1.02,2.975,-0.085,2.5,0.18,2.975,-0.085,3.25,1.02,2.975,-0.085,6,0.575,0.575,0.42,3,0.18,2.975,-0.085,3.75,1.02,2.975,-0.085,2,Mauser792x57mm,12,600,N/A,3,28,25,21,21,21,21,21,21,21,21,1.25,11,12,35,35,35,35,35,35,35,35,0.0025,21,-6,-6,1.25,N/A,4.75,2.75,6.3,-0.18,5.25,3.5,6.3,-0.18,4.25,2.5,6.3,-0.18,4.75,3.25,6.3,-0.18,6,0.575,0.575,0.42,5.25,3,6.3,-0.18,5.75,3.75,6.3,-0.18,0,870,100,N/A,N/A,N/A,N/A,N/A,N/A,600,28,3,1,N/A,-1,N/A,1.5,0,IMG 08-18 Suppressive
2,0,10.05,0,3,1,10.05,0,2,0,10.05,0,3,1,10.05,0,4.5,1,1,2,2,0,10.05,0,3,1,10.05,0,0,8mm,12,56,1.1,4,80,80,100,100,80,80,80,80,80,80,0.9,0,30,50,87.5,127.5,127.5,127.5,127.5,127.5,127.5,0.0025,80,1,1,1,1.53333334,3,2,10.05,1,4.5,3.5,10.05,1,2.5,1.5,10.05,1,4,3,10.05,1,4.5,1,1,5,3.5,2.5,10.05,1,5,4,10.05,1,0,720,8,9,2.53,0.73333335,N/A,N/A,N/A,56,100,3,1,0.43333334,9,1.5,5,0,Lebel Model 1886 Infantry
2,0,6.7,0,3,1,6.7,0,2,0,6.7,0,3,1,6.7,0,3,1,1,2,2,0,6.7,0,3,1,6.7,0,0,8mm,12,56,1.1,4,80,80,100,100,80,80,80,80,80,80,0.9,0,30,50,87.5,127.5,127.5,127.5,127.5,127.5,127.5,0.0025,80,1,1,1,1.53333334,3,2,6.7,1,4.5,3.5,6.7,1,2.5,1.5,6.7,1,4,3,6.7,1,3,1,1,5,3.5,2.5,6.7,1,5,4,6.7,1,0,720,8,9,2.53,0.73333335,N/A,N/A,N/A,56,100,3,1,0.43333334,9,1.5,5,0,Lebel Model 1886 Sniper
2.25,0.21,15.3,-0.102,3,0.79,15.3,-0.102,2,0.21,15.3,-0.102,2.75,0.79,15.3,-0.102,10.002,0.24,0.24,0.25,2.5,0.21,15.3,-0.102,3.25,0.79,15.3,-0.102,2,British303,12,480,N/A,3,26.5,25,23,20.84,20,20,20,20,20,20,1.2,11,12,35,49,50,50,50,50,50,50,0.0025,20,-4.999998,-4.999998,1.5,N/A,4,2.25,32.4,-0.216,4.5,3,32.4,-0.216,3.5,2,32.4,-0.216,4,2.75,32.4,-0.216,10.002,0.24,0.24,0.25,4.5,2.5,32.4,-0.216,5,3.25,32.4,-0.216,0,740,47,47,N/A,N/A,4.2,2.85,0.83,480,26.5,3,1,N/A,N/A,N/A,1.5,0,Lewis Gun Low Weight
2.25,0.1575,5.62500012,-0.093750002,3,0.5925,7.0750005,-0.117916675,2,0.1575,5.62500012,-0.093750002,2.75,0.5925,7.0750005,-0.117916675,6,0.2112,0.2112,0.25,2.5,0.1575,5.62500012,-0.093750002,3.25,0.5925,7.0750005,-0.117916675,2,British303,12,480,N/A,3,26.5,25,23,20.84,20,20,20,20,20,20,1.2,11,12,35,49,50,50,50,50,50,50,0.0025,20,-6,-6,1.5,N/A,4,2.25,10.8,-0.18,4.5,3,10.8,-0.18,3.5,2,10.8,-0.18,4,2.75,10.8,-0.18,6,0.2112,0.2112,0.25,4.5,2.5,10.8,-0.18,5,3.25,10.8,-0.18,0,740,47,47,N/A,N/A,4.2,2.85,0.83,480,26.5,3,1,N/A,N/A,N/A,1.5,0,Lewis Gun Optical
2.25,0.21,5.1,-0.085,3,0.79,5.1,-0.085,2,0.21,5.1,-0.085,2.75,0.79,5.1,-0.085,6,0.24,0.24,0.25,2.5,0.21,5.1,-0.085,3.25,0.79,5.1,-0.085,2,British303,12,480,N/A,3,26.5,25,23,20.84,20,20,20,20,20,20,1.2,11,12,35,49,50,50,50,50,50,50,0.0025,20,-6,-6,1.5,N/A,4,2.25,10.8,-0.18,4.5,3,10.8,-0.18,3.5,2,10.8,-0.18,4,2.75,10.8,-0.18,6,0.24,0.24,0.25,4.5,2.5,10.8,-0.18,5,3.25,10.8,-0.18,0,740,97,97,N/A,N/A,4.2,2.85,0.83,480,26.5,3,1,N/A,N/A,N/A,1.5,0,Lewis Gun Suppressive
1.2,0.21,2.1,0.07,1.2,0.79,2.1,0.07,1.2,0.21,2.1,0.07,1.2,0.79,2.1,0.07,5,0.1,0.1,0.28,1.2,0.21,2.1,0.07,1.2,0.79,2.1,0.07,4.6,30-18_Auto,12,359,N/A,4,34.73,33.34,26.5,25,20.84,20,17.37,16.67,15,15,0.9,11,12,17,18,24,25,31,32,33,33,0.0025,15,1,1,1,N/A,3,1.334,2.1,0.07,4.5,2.3345,2.1,0.07,2.5,1.0005,2.1,0.07,4,2.001,2.1,0.07,5,0.1,0.1,0.28,3.5,1.6675,2.1,0.07,5,2.668,2.1,0.07,0,400,41,41,N/A,N/A,3,2.25,0.75,359,34.73,3,1,N/A,N/A,N/A,1.5,0,M1903 Experimental
2,0,6.7,0,3,1,6.7,0,2,0,6.7,0,3,1,6.7,0,3,1,1,2,2,0,6.7,0,3,1,6.7,0,0,30-06,12,53,0.4,4,80,80,100,100,80,80,80,80,80,80,0.9,0,80,100,150,190,190,190,190,190,190,0.002,80,1,1,1,0.9,3,2,6.7,1,4.5,3.5,6.7,1,2.5,1.5,6.7,1,4,3,6.7,1,3,1,1,5,3.5,2.5,6.7,1,5,4,6.7,1,0,820,5,5,0.7,1.2333,N/A,N/A,N/A,53,100,3,1,0.5,5,1.7666667,5,0,M1903 Marksman
2,0,6.7,0,3,1,6.7,0,2,0,6.7,0,3,1,6.7,0,3,1,1,2,2,0,6.7,0,3,1,6.7,0,0,30-06,12,53,0.4,4,80,80,100,100,80,80,80,80,80,80,0.9,0,80,100,150,190,190,190,190,190,190,0.002,80,1,1,1,0.9,3,2,6.7,1,4.5,3.5,6.7,1,2.5,1.5,6.7,1,4,3,6.7,1,3,1,1,5,3.5,2.5,6.7,1,5,4,6.7,1,0,820,5,5,0.7,1.2333,N/A,N/A,N/A,53,100,3,1,0.5,5,1.7666667,5,0,M1903 Sniper
1.2,0.18,6,0.1,1.2,0.82,6,0.1,1.2,0.18,6,0.1,1.2,0.82,6,0.1,5.25,0.6,0.6,0.9,1.2,0.18,6,0.1,1.2,0.82,6,0.1,0.9,351Winchester_Semi,12,299,N/A,1,42,34.73,33.34,26.042,25,23,23,23,23,23,0.7,21,37,38,53,54,60,60,60,60,60,0.0025,23,1,1,1,N/A,2.5,1.5,6,0.1,3,2,6,0.1,2,1,6,0.1,2.5,1.5,6,0.1,5.25,0.6,0.6,0.9,3,2,6,0.1,3.5,2.5,6,0.1,0,570,21,21,N/A,N/A,3.5,2.3,0.75,299,42,3,1,N/A,N/A,N/A,5,0,M1907 SL Factory
1.2,0.18,3,0.1,1.2,0.82,3,0.1,1.2,0.18,3,0.1,1.2,0.82,3,0.1,3,0.6,0.6,0.72,1.2,0.18,3,0.1,1.2,0.82,3,0.1,0.9,351Winchester_Semi,12,299,N/A,1,42,34.73,33.34,26.042,25,23,23,23,23,23,0.7,21,37,38,53,54,60,60,60,60,60,0.0025,23,1,1,1,N/A,2.5,1.5,3,0.05,3,2,3,0.05,2,1,3,0.05,2.5,1.5,3,0.05,3,0.6,0.6,0.72,3,2,3,0.05,3.5,2.5,3,0.05,0,570,21,21,N/A,N/A,3.5,2.3,0.75,299,42,3,1,N/A,N/A,N/A,5,0,M1907 SL Sweeper
1.2,0.18,3,0.1,1.2,0.82,3,0.1,1.2,0.18,3,0.1,1.2,0.82,3,0.1,3,0.6,0.6,0.9,1.2,0.18,3,0.1,1.2,0.82,3,0.1,0.9,351Winchester_Semi,12,299,N/A,1,42,34.73,33.34,26.042,25,23,23,23,23,23,0.7,21,37,38,53,54,60,60,60,60,60,0.0025,23,1,1,1,N/A,2.5,0.75,3,0.05,3,1.2,3,0.05,2,0.5,3,0.05,2.5,0.9,3,0.05,3,0.6,0.6,0.9,3,1,3,0.05,3.5,1.5,3,0.05,0,570,21,21,N/A,N/A,3.5,2.3,0.75,299,42,3,1,N/A,N/A,N/A,5,0,M1907 SL Trench
2.25,0.1575,5.62500012,-0.093750002,3,0.5925,7.0750005,-0.117916675,2,0.1575,5.62500012,-0.093750002,2.75,0.5925,7.0750005,-0.117916675,6,0.1056,0.1056,0.35,2.5,0.1575,5.62500012,-0.093750002,3.25,0.5925,7.0750005,-0.117916675,2,30-06,12,450,N/A,3,26.5,25,23,23,23,23,23,23,23,23,1.2,11,12,35,35,35,35,35,35,35,35,0.002,23,-6,-6,1.25,N/A,4,2.25,10.8,-0.18,4.5,3,10.8,-0.18,3.5,2,10.8,-0.18,4,2.75,10.8,-0.18,6,0.1056,0.1056,0.35,4.5,2.5,10.8,-0.18,5,3.25,10.8,-0.18,0,820,30,30,N/A,N/A,3.9,2.6,0.75,450,26.5,3,1,N/A,N/A,N/A,1.5,0,M1909 Benet-Mercie Optical
2.25,0.21,5.1,-0.085,3,0.79,5.1,-0.085,2,0.21,5.1,-0.085,2.75,0.79,5.1,-0.085,6,0.096,0.096,0.28,2.5,0.21,5.1,-0.085,3.25,0.79,5.1,-0.085,2,30-06,12,450,N/A,3,26.5,25,23,23,23,23,23,23,23,23,1.2,11,12,35,35,35,35,35,35,35,35,0.002,23,-6,-6,1.25,N/A,4,2.25,10.8,-0.18,4.5,3,10.8,-0.18,3.5,2,10.8,-0.18,4,2.75,10.8,-0.18,6,0.096,0.096,0.28,4.5,2.5,10.8,-0.18,5,3.25,10.8,-0.18,0,820,30,30,N/A,N/A,3.9,2.6,0.75,450,26.5,3,1,N/A,N/A,N/A,1.5,0,M1909 Benet-Mercie Storm
2.25,0.14007,5.8000005,-0.096666675,3,0.79,5.1,-0.085,2,0.14007,5.8000005,-0.096666675,2.75,0.79,5.1,-0.085,6,0.12,0.12,0.35,2.5,0.14007,5.8000005,-0.096666675,3.25,0.79,5.1,-0.085,2,30-06,12,450,N/A,3,26.5,25,23,23,23,23,23,23,23,23,1.2,11,12,35,35,35,35,35,35,35,35,0.002,23,-6,-6,1.25,N/A,4,2.25,10.8,-0.18,4.5,3,10.8,-0.18,3.5,2,10.8,-0.18,4,2.75,10.8,-0.18,6,0.12,0.12,0.35,4.5,2.5,10.8,-0.18,5,3.25,10.8,-0.18,0,820,30,30,N/A,N/A,3.9,2.6,0.75,450,26.5,3,1,N/A,N/A,N/A,1.5,0,M1909 Benet-Mercie Telescopic
1.2,0.4,6,0.2,1.2,0.5,6,0.2,1.2,0.4,6,0.2,1.2,0.5,6,0.2,5,0.7,0.7,2.3,1.2,0.4,6,0.2,1.2,0.5,6,0.2,2,45cal,12,299,N/A,8,35,34.73,33.34,26.05,25,20.84,20,17.37,16.67,15,0.55,6,9,10,15,16,21,22,27,28,32.76,0.0025,15,1,1,1,N/A,2,0.8,6,0.2,2,1.2,6,0.2,2,0.8,6,0.2,2,1.2,6,0.2,5,0.7,0.7,2.3,2,0.8,6,0.2,2,1.2,6,0.2,0,250,8,8,N/A,N/A,1.7,1.16,0.8,299,35,3,1,N/A,N/A,N/A,1.5,0,M1911
1.2,0.36,6,0.2,1.2,0.44,6,0.2,1.2,0.36,6,0.2,1.2,0.44,6,0.2,5,0.5,0.5,1.7,1.2,0.36,6,0.2,1.2,0.44,6,0.2,2,45cal,12,299,N/A,5,35,34.73,33.34,26.05,25,20.84,20,17.37,16.67,15,0.6,6,9,10,15,16,21,22,27,28,32.76,0.0025,15,1,1,1,N/A,3,1,6,0.2,3,1.5,6,0.2,3,1,6,0.2,3,1.5,6,0.2,5,0.5,0.5,1.7,3,1.5,6,0.2,3,2,6,0.2,0,250,15,15,N/A,N/A,2.6,1.6,0.78,299,35,3,1,N/A,N/A,N/A,1.5,0,M1911 Extended
